description,category
pizza with rahul and ananya,Food
uber to airport,Transport
monthly rent october,Rent
movie tickets weekend,Entertainment
grocery from bigbazaar,Groceries
coffee at cafe,Food
electricity bill october,Utilities
paid subscription netflix,Entertainment
dinner at dominos,Food
bus to office,Transport
fuel for bike,Transport
water bill august,Utilities
supermarket vegetables,Groceries
train ticket home,Transport
monthly gym membership,Health
textbook purchase,Education
paid tuition fee,Education
snacks from store,Food
movie popcorn,Entertainment
doctor consultation,Health
breakfast at mcdonalds,Food
metro ride to work,Transport
cable tv recharge,Utilities
lunch at college canteen,Food
diesel refill for car,Transport
rent for november,Rent
mobile postpaid bill,Utilities
movie night at pvr,Entertainment
bought apples and milk,Groceries
medical checkup,Health
bus fare for trip,Transport
ordered biryani online,Food
new earphones purchase,Entertainment
monthly apartment rent,Rent
stationery for college,Education
paid online course fee,Education
grocery delivery order,Groceries
yoga class payment,Health
paid spotify subscription,Entertainment
breakfast with parents,Food
cab to railway station,Transport
power bill september,Utilities
bought rice and oil,Groceries
consultation with dentist,Health
tuition fees for semester,Education
fuel refill for scooter,Transport
movie streaming subscription,Entertainment
paid hostel rent,Rent
bought vegetables and fruits,Groceries
online doctor appointment,Health
coffee and sandwich at cafe,Food
train to delhi,Transport
internet broadband bill,Utilities
monthly water bill,Utilities
weekly groceries shopping,Groceries
gym renewal payment,Health
notebook and pens purchase,Education
birthday dinner with friends,Food
auto ride to market,Transport
house rent payment,Rent
concert tickets purchase,Entertainment
